序号,sample_id,原始视频相对路径,原始Excel行号,原始视频SHA256,视频有效时长_s,WAV有效时长_s,原文词数_有效长度,主时间有效词数,声学有效词数,视觉有效词数,声学原始帧数,视觉采样帧数,视觉有效帧数,文本维度,声学维度,视觉维度,对齐粒度,文本全量矩阵,文本全量矩阵起始行_0based,文本全量矩阵结束行_exclusive,声学逐帧文件,声学逐帧SHA256,视觉逐帧文件,视觉逐帧SHA256,词级三模态文件,词级三模态SHA256
34,-egA8-b7-3M$_$20,-egA8-b7-3M/20.mp4,35,719ef133920e74b3ea33925d2bca0270b062199116867568f88ac83cadcd74e8,6.644987,6.4744375,20,19,19,17,648,66,66,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,679,699,E.1/结果/06_Librosa74/逐样本/-egA8-b7-3M$_$20.npz,5fe0335facd822578badfe70fa72debd99b1b41c95286c284e13918975cf90f3,E.1/结果/07_FaceLandmarker52/逐样本/-egA8-b7-3M$_$20.npz,ef4aa36ceefad9a045faae5d63bfcd6098bc8826380fe14f5fcd2da493f68c19,E.1/结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$20.npz,87b9068277af294101ea91e0c625004a1e2c6aade57f63080c70f1ac76838ecb
35,-iRBcNs9oI8$_$3,-iRBcNs9oI8/3.mp4,36,39c547acd1a8da2ebc6c6ab008191a5676420398a974cd9611cad087f0ccec50,5.621,5.538,8,1,1,0,554,56,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,699,707,E.1/结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$3.npz,f1ea17c15bb854ce93228c4650d374f5d0803172c4cea779fc54479bcedf9e63,E.1/结果/07_FaceLandmarker52/逐样本/-iRBcNs9oI8$_$3.npz,c391c5f3e7a9ea699b0d843393df073bcfe049f2d0832932c43ff39ac68e67c3,E.1/结果/08_原文词级跨模态对齐/逐样本/-iRBcNs9oI8$_$3.npz,95bb6f7bb999b1166e8f459f56620cbb2b4d00472cd26e97947f3edc96de0188
36,-iRBcNs9oI8$_$7,-iRBcNs9oI8/7.mp4,37,cc7b1c7a06ec41d72007b5c42fb8036f30b66d5cf76e3f093160c22fc5e38081,4.104,4.00575,9,0,0,0,401,41,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,707,716,E.1/结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$7.npz,1ad1a61135ab6c783e0078441967cfaa81f008f4a65ebbb6a6af4ecb9a2a9b7f,E.1/结果/07_FaceLandmarker52/逐样本/-iRBcNs9oI8$_$7.npz,d4953b984ae4ac321c4bc3a4f6aefd859794c30bdf9f6583349df02737fa7da5,E.1/结果/08_原文词级跨模态对齐/逐样本/-iRBcNs9oI8$_$7.npz,f55fa52e79b3b07050fede8066169a37a94e15c3b3d411ab5a35b93f061c0f71
37,-iRBcNs9oI8$_$6,-iRBcNs9oI8/6.mp4,38,030b0b8d8d4ae47799432ab71b66fcc881f077c5b0feef892c1f146dc0a592e3,2.903,2.8204375,5,0,0,0,283,29,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,716,721,E.1/结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$6.npz,1f070e0c2c5c77d3e0b578056f0e307a3ab76981dfbc6d2805885d010fa2aa65,E.1/结果/07_FaceLandmarker52/逐样本/-iRBcNs9oI8$_$6.npz,2f674b80d404469e19ff56aa98086611df49f51f621d65bd3af89e51ec8f7923,E.1/结果/08_原文词级跨模态对齐/逐样本/-iRBcNs9oI8$_$6.npz,6f599be7c44c6142851d58de8ee45ed18f6baece4ffac24b56feff06afb90e4d
38,-iRBcNs9oI8$_$9,-iRBcNs9oI8/9.mp4,39,352bdcc73d3622d6abac1b09f2039b211d15b9bf7acee66f0b07783c9b7a4c74,3.416,3.374,5,0,0,0,338,34,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,721,726,E.1/结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$9.npz,ceb3711760f2ae1fc8fb729b93e46de9d5358af5620f3d844b0902c0235f373a,E.1/结果/07_FaceLandmarker52/逐样本/-iRBcNs9oI8$_$9.npz,1b091ddd2651fa490278c114d9266cf89afc1befcf7b35832b16a8bf3c99dd5e,E.1/结果/08_原文词级跨模态对齐/逐样本/-iRBcNs9oI8$_$9.npz,2be1b3ce7047b0506daa9da5c8774b48dd44282d82292ee5b7b3ee407c47c53d
39,-iRBcNs9oI8$_$8,-iRBcNs9oI8/8.mp4,40,72a49e3da2862addcde033bd2fbae957d086533664ca4dcbccd3a851bcd50412,8.093,8.026,21,1,1,0,803,81,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,726,747,E.1/结果/06_Librosa74/逐样本/-iRBcNs9oI8$_$8.npz,3bbf800e8963f1fd550c23926455a07f6ab860dc05438e6b3a331be8391d30df,E.1/结果/07_FaceLandmarker52/逐样本/-iRBcNs9oI8$_$8.npz,773f7855d6fa88d9481b7e3ad6b8517c5bba0d3ee028249567831558c6961374,E.1/结果/08_原文词级跨模态对齐/逐样本/-iRBcNs9oI8$_$8.npz,796d502a4eab9211b832e2cfe4a8280218f377d40d5a0e87a2effe11f3389a19
40,-lzEya4AM_4$_$5,-lzEya4AM_4/5.mp4,41,3b74de8d0e66fd754594f05985e5af3480adcc03555f79225d3b727cb4bed043,7.675,7.5696875,19,17,17,16,757,77,77,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,747,766,E.1/结果/06_Librosa74/逐样本/-lzEya4AM_4$_$5.npz,e43b348604d715602ec15d82208120d39f1bf1e78292ebbd00aa460dca242f80,E.1/结果/07_FaceLandmarker52/逐样本/-lzEya4AM_4$_$5.npz,78691be5e54495f43eee133730f2026c0f39972d24ea61eb7f0e5022aa994c97,E.1/结果/08_原文词级跨模态对齐/逐样本/-lzEya4AM_4$_$5.npz,9718ec8997724210956bbb6232356950cf12eaa70565c9acf33a82df3185f5f3
41,-lzEya4AM_4$_$6,-lzEya4AM_4/6.mp4,42,ff5da5afb551001d58100ed2471caea51c741046d5396957efbf40082307ca18,14.791992,14.740375,43,39,39,38,1475,148,146,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,766,809,E.1/结果/06_Librosa74/逐样本/-lzEya4AM_4$_$6.npz,3a8bb52e33369bd5a6c643b0ab571eb9a25d74abdcde5dd47757e90b1bf5a93f,E.1/结果/07_FaceLandmarker52/逐样本/-lzEya4AM_4$_$6.npz,94f50504a0f9913d62b921c871036e749f60a60c5a4167e7653576ee6e4f3833,E.1/结果/08_原文词级跨模态对齐/逐样本/-lzEya4AM_4$_$6.npz,6a3d80edcdef50072aed11cc20d064f6daf458483ab377b282951be5792c6823
42,-mJ2ud6oKI8$_$1,-mJ2ud6oKI8/1.mp4,43,c8e3acb4ca08679796c4c8cdfcd8c2b3cffc0465015efaffa1eccdb55ff4f45b,6.103,6.054,13,0,0,0,606,61,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,809,822,E.1/结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$1.npz,c888cbb85bad30cde27b8273d54a25d907ea8aae8e27862cee0f0db0895cbc59,E.1/结果/07_FaceLandmarker52/逐样本/-mJ2ud6oKI8$_$1.npz,f1f4b9ffa3eca6e37c63b4dcca5da8741acddca0dc56cca30b1b2a2cdc373f04,E.1/结果/08_原文词级跨模态对齐/逐样本/-mJ2ud6oKI8$_$1.npz,3d748f6766a59892f242d6e429f417c0c826c370283941bacf720235ea47c3b0
43,-mJ2ud6oKI8$_$2,-mJ2ud6oKI8/2.mp4,44,c41790f8b75f886bd1f5d6d72cbab1985306d0b715e5ae47203f3d0c8a3e7b28,5.731,5.7016875,11,0,0,0,571,57,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,822,833,E.1/结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$2.npz,0338562c7dd3c3e0a82fcbca4bf66ed995ea3fc084d05faa93139ea3d291fa2c,E.1/结果/07_FaceLandmarker52/逐样本/-mJ2ud6oKI8$_$2.npz,da79ef847865ff6d84899357b978ec932ac650536c7520a75ebe7b6d7f638ff9,E.1/结果/08_原文词级跨模态对齐/逐样本/-mJ2ud6oKI8$_$2.npz,b14252635fe8862a355bb71be9467f95b16b44de553485c776eebf24a91652fb
44,-mJ2ud6oKI8$_$6,-mJ2ud6oKI8/6.mp4,45,134a3a4ebbc423760133b0da0e90cfe84d75ea85df3968000afd84153c5d828d,2.257,2.228125,5,1,1,1,223,23,23,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,833,838,E.1/结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$6.npz,fe3963438b2a59231dcf5fef71c9dd27d2b93a82aa1234805b397f696a3e3ba0,E.1/结果/07_FaceLandmarker52/逐样本/-mJ2ud6oKI8$_$6.npz,5e8782e6bf96bd349a20ae9b1b2370886f08b40b719cfa67defed543605d0999,E.1/结果/08_原文词级跨模态对齐/逐样本/-mJ2ud6oKI8$_$6.npz,7cfb10e95e2a1f9f4b885c24302da1036a6940ec15e8d8bc5005eff12ea05322
45,-mJ2ud6oKI8$_$9,-mJ2ud6oKI8/9.mp4,46,df3442f3ed8f894b507923e87e426ae9636790a4a502d00c350a215270cc3e47,7.033,6.90875,22,2,2,2,691,70,70,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,838,860,E.1/结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$9.npz,324bc7764c6253cd1ba1d857928e425d1219e4f7d6eda7daf41b27a353235b7e,E.1/结果/07_FaceLandmarker52/逐样本/-mJ2ud6oKI8$_$9.npz,f6579fa1a87de2e59fad657e765128b87e1b8c4014e7ab252bff0095e19444b2,E.1/结果/08_原文词级跨模态对齐/逐样本/-mJ2ud6oKI8$_$9.npz,daa0b93180036f8d675ebaeeb837baea35af008602d257fbbdaba8d451eb69de
46,-mJ2ud6oKI8$_$8,-mJ2ud6oKI8/8.mp4,47,6af6614c9838417a48c4817f4dd5bf1e6669eb5f78f983e9a68adc113fcdc7cc,4.192,4.171375,11,1,1,1,418,42,42,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,860,871,E.1/结果/06_Librosa74/逐样本/-mJ2ud6oKI8$_$8.npz,5001dd2e64a30e2ba28dacc8d33e3ffe880a24ebf015fbe69af732a37b759367,E.1/结果/07_FaceLandmarker52/逐样本/-mJ2ud6oKI8$_$8.npz,dcb6b3394d3b3ea17711ee72cb1f1ee8d9e2be681d7a5b0620fd0e8d617b98d6,E.1/结果/08_原文词级跨模态对齐/逐样本/-mJ2ud6oKI8$_$8.npz,a76c9b9f7c7917269869fd4c8fe1a5966ba8a257351eee9350c37b2667d3a13a
47,-mqbVkbCndg$_$0,-mqbVkbCndg/0.mp4,48,cdeba953bba30907814acf72f3e35582dec263eaa25bdd922dad7fafe02e4dda,6.466667,6.385,14,14,14,13,639,65,65,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,871,885,E.1/结果/06_Librosa74/逐样本/-mqbVkbCndg$_$0.npz,78158ea012705206c0f907edb2ed5260e697cf567523aab657450cdeb1092d71,E.1/结果/07_FaceLandmarker52/逐样本/-mqbVkbCndg$_$0.npz,84328a29f69005f35f1cfc92a6f30d2f08953fad774287e442979e2b361127d3,E.1/结果/08_原文词级跨模态对齐/逐样本/-mqbVkbCndg$_$0.npz,553931fbb0afcd510251b7f2e536cbbdf3e769db862d32882e5684e8cd065a43
48,-t217m2on-s$_$2,-t217m2on-s/2.mp4,49,6713a983112173204502dc5adbb886bc6c38554b4627698611931420c47663a8,5.686003,5.63,12,10,10,10,563,57,57,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,885,897,E.1/结果/06_Librosa74/逐样本/-t217m2on-s$_$2.npz,0a84b443513fd218a2b0a86553db54bdeba1fd10d7c89ec719447b303abec407,E.1/结果/07_FaceLandmarker52/逐样本/-t217m2on-s$_$2.npz,ba27ee5de0ebf639409ddad58bae55ad75035ce95b7d3a2c1c9537bbcb8d070a,E.1/结果/08_原文词级跨模态对齐/逐样本/-t217m2on-s$_$2.npz,d1c0772ba20cf58431e37da1f203b4b44e41c8fa9432d41e16c297626abc83c7
49,-t217m2on-s$_$7,-t217m2on-s/7.mp4,50,41c76b8a733ecb780d56348f55d00f0ba0c07f44f46e93044e62d876710180b7,17.183008,17.026,45,40,40,38,1703,172,172,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,897,942,E.1/结果/06_Librosa74/逐样本/-t217m2on-s$_$7.npz,c0bb5ace9afb654b8a65e86c3a2cc7b359ca15d538878d902c79e7fa74b7e630,E.1/结果/07_FaceLandmarker52/逐样本/-t217m2on-s$_$7.npz,75d1999692f4ae950fbdc62ff7c1df30b2503a5c360b71bd6ac56aae8acbc7f7,E.1/结果/08_原文词级跨模态对齐/逐样本/-t217m2on-s$_$7.npz,6c077ac9f72095f6c3c5fdc2ef3b2c50a234413c31a1ca8d898c71ce3cda3aac
50,-tANM6ETl_M$_$3,-tANM6ETl_M/3.mp4,51,6d3af064c060dad3816a9e1dfa00101faebd8b7da7d8ceea85b0bc0fca70abd6,6.758008,6.603625,22,20,20,18,661,68,68,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,942,964,E.1/结果/06_Librosa74/逐样本/-tANM6ETl_M$_$3.npz,c2807cb305795a51ca9f45bb7a66d2cbfd8eb54bcbf5cb127f68eefd452fedea,E.1/结果/07_FaceLandmarker52/逐样本/-tANM6ETl_M$_$3.npz,ef436c92c4c8580f05f2ee090b3cd64f486402c37b736a9dcbdcd144f1b14489,E.1/结果/08_原文词级跨模态对齐/逐样本/-tANM6ETl_M$_$3.npz,85dcf560d58bd6afc2ed292727b7b4cffa52c359f9e9aafbdcc874b7699277ef
51,-tPCytz4rww$_$11,-tPCytz4rww/11.mp4,52,6dc09d02467baaef67594ff32cffb01f8ed1565cda4c5abd161b8261a51e2e5d,5.466992,5.378,17,11,11,11,538,55,55,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,964,981,E.1/结果/06_Librosa74/逐样本/-tPCytz4rww$_$11.npz,a069e82504d33588286cf2e641e69dc66304c7425baca6d8d1c39bf82e4c480c,E.1/结果/07_FaceLandmarker52/逐样本/-tPCytz4rww$_$11.npz,757b356403c7f487ec698748f8cdb6c00f9a9a3d1e9bf15d067ae09d9993a0e3,E.1/结果/08_原文词级跨模态对齐/逐样本/-tPCytz4rww$_$11.npz,0c881130051264bf1b11c28bbcd5ece9d957b9bec5e301e5b7d171758a4eeb37
52,-tPCytz4rww$_$10,-tPCytz4rww/10.mp4,53,758183192cbd5f0f20823d26ece3ddee40dec0aadec35247b2495510a53f52f8,4.788997,4.678,12,10,10,9,468,48,48,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,981,993,E.1/结果/06_Librosa74/逐样本/-tPCytz4rww$_$10.npz,45a7716b68403d7c6fc436e67d6fe5ca44c563624e5586bc81cb8d6474420c3a,E.1/结果/07_FaceLandmarker52/逐样本/-tPCytz4rww$_$10.npz,dc328bf914bb86b5c9d31942a94558694f5ca1025762133557d602ac85bd147b,E.1/结果/08_原文词级跨模态对齐/逐样本/-tPCytz4rww$_$10.npz,02d88fc0568850454f91a2abb5ae373b770b50365542f2e94856351ce19b6002
53,-tPCytz4rww$_$12,-tPCytz4rww/12.mp4,54,e3c7f9cd67ad2d20fef997696dc278361f97f027db58762e22104e5720d509d5,11.863997,11.736,26,17,17,17,1174,119,119,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,993,1019,E.1/结果/06_Librosa74/逐样本/-tPCytz4rww$_$12.npz,50c1aa6471f5d90b8f1c96da1f5bbf1439baa27d5e7849516333fb503c6062bc,E.1/结果/07_FaceLandmarker52/逐样本/-tPCytz4rww$_$12.npz,b00e5945e72c3cdaf7efd97d166be10d5107c2f274a3868c1a1148b0216812ca,E.1/结果/08_原文词级跨模态对齐/逐样本/-tPCytz4rww$_$12.npz,08c0cc3a00db87ea466711df45fc03745f79494afee28640944fa8b1f4c9cbb3
54,-tPCytz4rww$_$16,-tPCytz4rww/16.mp4,55,8b3f82f9628792eebaf8c227becc2ebeba59bb8abb668bcca86e07fb1a992a93,7.20599,7.139,16,13,13,12,714,72,72,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1019,1035,E.1/结果/06_Librosa74/逐样本/-tPCytz4rww$_$16.npz,464ed6d117da9ceb6522bd30716549eda5c366b14866e96dd2ae2e12ee0b3a17,E.1/结果/07_FaceLandmarker52/逐样本/-tPCytz4rww$_$16.npz,caf1bc1412090367c7b038edeb835d72bac97096f245b5fd90688274a6ba6150,E.1/结果/08_原文词级跨模态对齐/逐样本/-tPCytz4rww$_$16.npz,3a6631baf5d00f1ccdafc0f6c178a655e80f806cbf58f52e2aab2a061edcc66b
55,-tPCytz4rww$_$18,-tPCytz4rww/18.mp4,56,eece70451e9c37a4b5f375bf646f66e09113fe3467f35bf1720cc14d986c1776,6.644987,6.5688125,16,0,0,0,657,67,67,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1035,1051,E.1/结果/06_Librosa74/逐样本/-tPCytz4rww$_$18.npz,d2a7952c3224d9f9756cf9aa6892577df247d0395a8ba2f55abce2a34f319291,E.1/结果/07_FaceLandmarker52/逐样本/-tPCytz4rww$_$18.npz,0c43eabf6b1bf644fafe06c5d2fc17cf4008604d7e5802ab728b97305d7ed70f,E.1/结果/08_原文词级跨模态对齐/逐样本/-tPCytz4rww$_$18.npz,6a9ce713a7920f81b0b7df0091509266491017574f60304934e0cd151c38c6f1
56,-vxjVxOeScU$_$4,-vxjVxOeScU/4.mp4,57,00282df9a314394f19d616d561bd1916d1d30dca4c814dfb43630ca164f4c719,9.127018,9.037,21,21,21,21,904,91,91,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1051,1072,E.1/结果/06_Librosa74/逐样本/-vxjVxOeScU$_$4.npz,be2e554aee57fc50864969e592cbf520a9c035d43073158c576b749490339860,E.1/结果/07_FaceLandmarker52/逐样本/-vxjVxOeScU$_$4.npz,ec7b765e26697bfc4724b4067e969810386e5cd702b55fd235365e552efdfddf,E.1/结果/08_原文词级跨模态对齐/逐样本/-vxjVxOeScU$_$4.npz,33dca0994f4c92d07705ac7616bb0564aff930a7a5f80c50af62d185ac85a4df
57,-wMB_hJL-3o$_$7,-wMB_hJL-3o/7.mp4,58,04a73d73fd150b07edab8e652fd14c9cb4a0f6e017ea97b17e8146e377b9fae7,6.04401,5.9755625,22,22,22,21,598,61,61,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1072,1094,E.1/结果/06_Librosa74/逐样本/-wMB_hJL-3o$_$7.npz,846c17185115847aaa3ddb2207ebb84ee5922337269922d3fc5d1e59305ce991,E.1/结果/07_FaceLandmarker52/逐样本/-wMB_hJL-3o$_$7.npz,e5eefe522b1d3b736124849ab9ee07283487974405bbe96bd01063b5cef67dcb,E.1/结果/08_原文词级跨模态对齐/逐样本/-wMB_hJL-3o$_$7.npz,fd07017739a74488afd9ef094acd18649259592a957a6dfabd9c798d7099a4a6
58,-wny0OAz3g8$_$1,-wny0OAz3g8/1.mp4,59,c5535859f129ce04da5f5b5104d02d4168057b9d947a5349d423278ad4f3d8e8,6.84401,6.776,22,22,22,1,678,69,12,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1094,1116,E.1/结果/06_Librosa74/逐样本/-wny0OAz3g8$_$1.npz,b71bbe0d52ba968024040c26e8cac8c9ae9282e96914f2d05b8cd04c9fbe13ba,E.1/结果/07_FaceLandmarker52/逐样本/-wny0OAz3g8$_$1.npz,906387b0e06efe69badf43dfa2581b3a9d7af47b6fdf211bbdb5b44b94e63733,E.1/结果/08_原文词级跨模态对齐/逐样本/-wny0OAz3g8$_$1.npz,c68e15c1feca4bef9b5435de6d14e5c2805095c48c8a4a03a3524ef635c01f0e
59,-wny0OAz3g8$_$0,-wny0OAz3g8/0.mp4,60,1cc21b4432e2f4b592284ee40558a18acc7d208019117aebdb2f6a1b67ea198d,3.333333,3.274,9,1,1,1,328,34,28,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1116,1125,E.1/结果/06_Librosa74/逐样本/-wny0OAz3g8$_$0.npz,a5eb2d0f9c6ae8c31ba39159ba963badf18e08a57ea81dc184777f66dd06249d,E.1/结果/07_FaceLandmarker52/逐样本/-wny0OAz3g8$_$0.npz,379afd7eb813e89071f8c665180fb7f7bd7d7fb621f944de6f30e104cab8c97e,E.1/结果/08_原文词级跨模态对齐/逐样本/-wny0OAz3g8$_$0.npz,8bab9c677180aa7a4c265fd1282e4b67dc7294c8591dc400ebd2871e66ef504d
60,-wny0OAz3g8$_$3,-wny0OAz3g8/3.mp4,61,ea917c506bc9fa39460f2b722f7c416f646312bb17cd74baa618905b54837bce,6.146029,6.099875,20,20,20,2,610,62,11,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1125,1145,E.1/结果/06_Librosa74/逐样本/-wny0OAz3g8$_$3.npz,fe5f98a83c60c2b2a97cd6878a6fe2fd1f9e78a24224dae26169189a21f0b94b,E.1/结果/07_FaceLandmarker52/逐样本/-wny0OAz3g8$_$3.npz,89b7d299548df1b83c3861d14ba969ae569f1125fbfe230c4307e0981b0acb64,E.1/结果/08_原文词级跨模态对齐/逐样本/-wny0OAz3g8$_$3.npz,3387c9a8a1d64a8ea498b114215b55fa2984a5bca66c51cc8b2843421a221e2c
61,-wny0OAz3g8$_$2,-wny0OAz3g8/2.mp4,62,1825fb37db2e914fb616cd80aebd613afd873eecb7edd4d0b53158bfda0e522a,6.686979,6.5226875,23,23,23,23,653,67,55,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1145,1168,E.1/结果/06_Librosa74/逐样本/-wny0OAz3g8$_$2.npz,1b0bf9c5d0b3fc0005a20b1ed39765e021492b0ced1b58ddf469fdfa435bf10e,E.1/结果/07_FaceLandmarker52/逐样本/-wny0OAz3g8$_$2.npz,dc36431507f252a15c405de856b29cd545e75fecff60ee51ce59cfe75d97dfa0,E.1/结果/08_原文词级跨模态对齐/逐样本/-wny0OAz3g8$_$2.npz,01da1f86403a3d75100667cc4ed6ba488efa0a6bbeacf4432c084e2094cee8b1
62,-wny0OAz3g8$_$5,-wny0OAz3g8/5.mp4,63,6c6a8a4cba654b25190ab1793bfae81c3d2159ecd6cbc02d3fcbd598543acce0,6.911979,6.741,20,16,16,0,675,69,12,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1168,1188,E.1/结果/06_Librosa74/逐样本/-wny0OAz3g8$_$5.npz,7fd276813105d911ffbac6a9b7d3bda1c58178d81b4e59d3092c7ead59a0781d,E.1/结果/07_FaceLandmarker52/逐样本/-wny0OAz3g8$_$5.npz,75c2f9be2e0e2f367bcfbe7aebe8f860f696171497bb563764ad0c1a022f2cf7,E.1/结果/08_原文词级跨模态对齐/逐样本/-wny0OAz3g8$_$5.npz,f8cb6ca8ab8e663ae3df9b8f98c2f9c5359e0a77fc0ca56a7e4d920820e07056
63,-wny0OAz3g8$_$7,-wny0OAz3g8/7.mp4,64,cbf9cac1048ce191aef781d0c4563eb97f9f3ddd52eb1f9551fa78d31d70e7cd,8.067969,7.9105,29,29,29,10,792,81,28,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1188,1217,E.1/结果/06_Librosa74/逐样本/-wny0OAz3g8$_$7.npz,ef644dd46f52813b4af0045cc9ee7773881632ce69f95c34eb0aad36cd50c584,E.1/结果/07_FaceLandmarker52/逐样本/-wny0OAz3g8$_$7.npz,535e10e045e80cc0c12f67e41ebddf47c2212bea4d5586ac8ed54d9ad9f12752,E.1/结果/08_原文词级跨模态对齐/逐样本/-wny0OAz3g8$_$7.npz,d16213308cb4d80d0f7efe00e6cf837266b01e6685946e461e9697fff249c320
64,-wny0OAz3g8$_$9,-wny0OAz3g8/9.mp4,65,b76f70fe783ee76bf1b637137226c98e67d13a6b15ec725894175b36cd76a136,6.213021,6.043,20,20,20,19,605,62,57,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1217,1237,E.1/结果/06_Librosa74/逐样本/-wny0OAz3g8$_$9.npz,6b01be080fc843ce31fb285cfa6dff87755f763ea0db126ae0a862053b1337ac,E.1/结果/07_FaceLandmarker52/逐样本/-wny0OAz3g8$_$9.npz,bd57aab0297b874a20c3abb4846c6eb6cf697e9cdff0bccc184aba7b73d817dd,E.1/结果/08_原文词级跨模态对齐/逐样本/-wny0OAz3g8$_$9.npz,c676817a6f73c7d6e75b72f55d0a649c2bf61ba89d8fe94e4d2d7325d1ba9bdd
65,-571d8cVauQ$_$0,-571d8cVauQ/0.mp4,66,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088,5.066667,4.992,12,12,12,11,500,52,50,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1237,1249,E.1/结果/06_Librosa74/逐样本/-571d8cVauQ$_$0.npz,abaf695b5e9c6c80a2a64d1e7b99632508727fccff81f8a0fac8017f970fa0f0,E.1/结果/07_FaceLandmarker52/逐样本/-571d8cVauQ$_$0.npz,35745a115eba1b52f80044a550a0539c5f3ed60734ce2378436e7cf5834c1e79,E.1/结果/08_原文词级跨模态对齐/逐样本/-571d8cVauQ$_$0.npz,a101ffa80bf60ef9cfb6019ef72d6cd1a55889dd71d5bc19a2819e3d40d31ad4
66,-571d8cVauQ$_$5,-571d8cVauQ/5.mp4,67,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e,15.272982,15.115,43,42,42,40,1512,153,153,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1249,1292,E.1/结果/06_Librosa74/逐样本/-571d8cVauQ$_$5.npz,6608691956dc2500b2ffce18b63b75811797e73ba55d8e5d51b87b8966ebaf19,E.1/结果/07_FaceLandmarker52/逐样本/-571d8cVauQ$_$5.npz,b871893f4c8b80a14d5cdfc747620d3ee22c31eb23f0dc8162c7cef45829c7ce,E.1/结果/08_原文词级跨模态对齐/逐样本/-571d8cVauQ$_$5.npz,23e58c8f7692bcc7683c9662e23326fd7c723962c6febfbca0f44458238d31cf
67,-I_e4mIh0yE$_$1,-I_e4mIh0yE/1.mp4,68,8453a966d4bd1f0179eb86a35cd34c0864a3a3bc2fa86f37783060cc0d14f5df,7.622005,7.444,18,17,17,17,745,76,76,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,1292,1310,E.1/结果/06_Librosa74/逐样本/-I_e4mIh0yE$_$1.npz,5c4edd215343329910cbe50ee19abe4d82786847cc6a900f5efa4934a66fcd12,E.1/结果/07_FaceLandmarker52/逐样本/-I_e4mIh0yE$_$1.npz,b4c29f14164787441a9c04f15521c17eff0b595d962e57a3fe18588ee88ff12b,E.1/结果/08_原文词级跨模态对齐/逐样本/-I_e4mIh0yE$_$1.npz,7c903296064419ce49138d7f841e8ce8348f879c5af73f77df111d161a8e6258
